tag_no,category_name,category_prefix,product_name,image_filename,Sizes,Quantity,short_description, total_amount ,,,,
KW-RG-002,Rings,RG,Azure - Cluster,KW-RG-002,6,4,"A stylish gold-tone band with an intricate lattice design, embellished with sparkling crystals for everyday sophistication.",QAR 50.00,,,,
KW-RG-002,Rings,RG,Azure - Cluster,KW-RG-002,7,3,"A stylish gold-tone band with an intricate lattice design, embellished with sparkling crystals for everyday sophistication.",QAR 50.00,,,,
KW-RG-002,Rings,RG,Azure - Cluster,KW-RG-002,8,3,"A stylish gold-tone band with an intricate lattice design, embellished with sparkling crystals for everyday sophistication.",QAR 50.00,,,,
KW-RG-003,Rings,RG,Azure - Vintage,KW-RG-003,7,4,A glamorous gold-tone floral cluster ring featuring brilliant crystals that radiate timeless charm.,QAR 60.00,,,,
KW-RG-003,Rings,RG,Azure - Vintage,KW-RG-003,8,6,A glamorous gold-tone floral cluster ring featuring brilliant crystals that radiate timeless charm.,QAR 60.00,,,,
KW-RG-004,Rings,RG,Azure - Eternal,KW-RG-004,6,1,"A modern geometric gold-tone ring with square-cut crystal accents, offering a bold and refined look.",QAR 50.00,,,,
KW-RG-004,Rings,RG,Azure - Eternal,KW-RG-004,7,5,"A modern geometric gold-tone ring with square-cut crystal accents, offering a bold and refined look.",QAR 50.00,,,,
KW-RG-004,Rings,RG,Azure - Eternal,KW-RG-004,8,3,"A modern geometric gold-tone ring with square-cut crystal accents, offering a bold and refined look.",QAR 50.00,,,,
KW-RG-004,Rings,RG,Azure - Eternal,KW-RG-004,9,1,"A modern geometric gold-tone ring with square-cut crystal accents, offering a bold and refined look.",QAR 50.00,,,,
KW-RG-005-1,Rings,RG,Azure - Crown Moon light,KW-RG-005-1,7,2,A classic silver-tone halo ring featuring an oval-cut crystal centerpiece surrounded by sparkling accents.,QAR 35.00,,,,
KW-RG-005-1,Rings,RG,Azure - Crown Moon light,KW-RG-005-1,8,4,A classic silver-tone halo ring featuring an oval-cut crystal centerpiece surrounded by sparkling accents.,QAR 35.00,,,,
KW-RG-005-2,Rings,RG,Azure - Crown Sun Light,KW-RG-005-2,7,3,A graceful gold-tone halo ring showcasing an oval-cut crystal framed by brilliant stones for an elegant finish.,QAR 35.00,,,,
KW-RG-005-2,Rings,RG,Azure - Crown Sun Light,KW-RG-005-2,8,3,A graceful gold-tone halo ring showcasing an oval-cut crystal framed by brilliant stones for an elegant finish.,QAR 35.00,,,,
KW-RG-006,Rings,RG,Azure - Floral Spark,KW-RG-006,7,1,"A chic gold-tone ring with a radiant princess-cut crystal, accented by delicate leaf-inspired details.",QAR 35.00,,,,
KW-RG-006,Rings,RG,Azure - Floral Spark,KW-RG-006,8,4,"A chic gold-tone ring with a radiant princess-cut crystal, accented by delicate leaf-inspired details.",QAR 35.00,,,,
KW-RG-007,Rings,RG,Azure - Crown Glory,KW-RG-007,8,6,A contemporary multi-row gold-tone band adorned with shimmering crystals for a bold statement.,QAR 70.00,,,,
KW-RG-008,Rings,RG,Azure - Infiniti,KW-RG-008,7,2,A unique two-tone ring featuring sparkling pavé crystals paired with intricate floral-inspired detailing.,QAR 70.00,,,,
KW-RG-008,Rings,RG,Azure - Infiniti,KW-RG-008,8,3,A unique two-tone ring featuring sparkling pavé crystals paired with intricate floral-inspired detailing.,QAR 70.00,,,,
KW-RG-008,Rings,RG,Azure - Infiniti,KW-RG-008,9,1,A unique two-tone ring featuring sparkling pavé crystals paired with intricate floral-inspired detailing.,QAR 70.00,,,,
KW-RG-009,Rings,RG,Azure - Sattire,KW-RG-009,6,2,An elegant crossover gold-tone ring embellished with rows of brilliant crystals for a sophisticated sparkle.,QAR 100.00,,,,
KW-RG-009,Rings,RG,Azure - Sattire,KW-RG-009,7,2,An elegant crossover gold-tone ring embellished with rows of brilliant crystals for a sophisticated sparkle.,QAR 100.00,,,,
KW-RG-009,Rings,RG,Azure - Sattire,KW-RG-009,8,2,An elegant crossover gold-tone ring embellished with rows of brilliant crystals for a sophisticated sparkle.,QAR 100.00,,,,
KW-RG-010,Rings,RG,Azure - Enchanteur,KW-RG-010,9,4,"A delicate gold-tone leaf-inspired ring adorned with sparkling crystal accents, perfect for effortless everyday elegance.",QAR 70.00,,,,
KW-RG-011,Rings,RG,Azure - Radiance,KW-RG-011,8,7,A timeless silver-tone ring featuring a brilliant round-cut center stone accented with sparkling side stones for everyday sophistication.,QAR 60.00,,,,
KW-RG-012,Rings,RG,Azure - Ice Cube,KW-RG-012,7,4,"A luxurious oval pavé design with intricate two-tone detailing, creating a bold and glamorous statement.",QAR 100.00,,,,
KW-RG-012,Rings,RG,Azure - Ice Cube,KW-RG-012,8,3,"A luxurious oval pavé design with intricate two-tone detailing, creating a bold and glamorous statement.",QAR 100.00,,,,
KW-RG-012,Rings,RG,Azure - Ice Cube,KW-RG-012,9,5,"A luxurious oval pavé design with intricate two-tone detailing, creating a bold and glamorous statement.",QAR 100.00,,,,
KW-RG-013-1,Rings,RG,Azure - Floria Moon,KW-RG-013-1,7,2,A graceful flower-inspired silver ring with a dazzling round center stone and delicate crystal accents.,QAR 75.00,,,,
KW-RG-013-1,Rings,RG,Azure - Floria Moon,KW-RG-013-1,8,4,A graceful flower-inspired silver ring with a dazzling round center stone and delicate crystal accents.,QAR 75.00,,,,
KW-RG-013-2,Rings,RG,Azure - Floria Sun,KW-RG-013-2,6,1,An elegant gold-tone floral ring highlighted by a brilliant solitaire and shimmering side stones for a refined finish.,QAR 75.00,,,,
KW-RG-013-2,Rings,RG,Azure - Floria Sun,KW-RG-013-2,7,2,An elegant gold-tone floral ring highlighted by a brilliant solitaire and shimmering side stones for a refined finish.,QAR 75.00,,,,
KW-RG-013-2,Rings,RG,Azure - Floria Sun,KW-RG-013-2,8,3,An elegant gold-tone floral ring highlighted by a brilliant solitaire and shimmering side stones for a refined finish.,QAR 75.00,,,,
KW-RG-014,Rings,RG,Azure - Aura,KW-RG-014,7,3,"A striking two-tone ring with an artistic infinity-inspired design, embellished with sparkling pavé crystals.",QAR 100.00,,,,
KW-RG-014,Rings,RG,Azure - Aura,KW-RG-014,8,3,"A striking two-tone ring with an artistic infinity-inspired design, embellished with sparkling pavé crystals.",QAR 100.00,,,,
KW-RG-015-1,Rings,RG,Azure - Prism Dark Night,KW-RG-015-1,Free,6,A sophisticated gold-tone ring featuring a bold black cushion-cut stone framed by brilliant crystal accents.,QAR 70.00,,,,
KW-RG-015-2,Rings,RG,Azure - Prism Deep Ocean,KW-RG-015-2,Free,7,An elegant silver-tone ring showcasing a deep blue cushion-cut stone with a sparkling twisted halo design.,QAR 70.00,,,,
KW-RG-015-3,Rings,RG,Azure - Prism Forest,KW-RG-015-3,Free,5,A captivating silver-tone ring with a vivid green center stone surrounded by brilliant crystal detailing,QAR 70.00,,,,
KW-RG-015-4,Rings,RG,Azure - Prism Moon Light,KW-RG-015-4,Free,6,A luxurious silver-tone ring featuring a dazzling clear cushion-cut stone with an elegant twisted band.,QAR 70.00,,,,
KW-RG-015-5,Rings,RG,Azure - Prism Sun light,KW-RG-015-5,Free,6,A sophisticated two-tone ring with a champagne-colored cushion-cut stone and sparkling crystal accents.,QAR 70.00,,,,
KW-RG-016-1,Rings,RG,Azure - Iris Moon Light,KW-RG-016-1,Free,6,A timeless oval halo ring with brilliant crystals and a split-shank design for classic elegance.,QAR 70.00,,,,
KW-RG-016-2,Rings,RG,Azure - Iris Deep Ocean,KW-RG-016-2,Free,6,A refined oval halo ring showcasing a rich  blue stone with a brilliant crystal-encrusted setting.,QAR 70.00,,,,
KW-RG-016-3,Rings,RG,Azure - Iris Forest,KW-RG-016-3,Free,6,A graceful silver-tone halo ring featuring a vibrant green center stone surrounded by shimmering crystals.,QAR 70.00,,,,
KW-RG-017-1,Rings,RG,Azure - Victoria Moon light,KW-RG-017-1,Free,6,An elegant silver-tone statement ring featuring a dazzling round-cut center stone framed by sparkling crystal details.,QAR 80.00,,,,
KW-RG-017-2,Rings,RG,Azure - Victoria Ocean,KW-RG-017-2,Free,6,"A luxurious gold-tone ring centered with a lustrous pearl, complemented by baguette-cut and pavé crystal accents.",QAR 80.00,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
